ProgramName;Start;End;Cancelled;TotalTime;BreakingTime;NumberBreaks;Process1Time;Process1Length;Process1Starts;Process2Time;Process2Length;Process2Starts;Process3Time;Process3Length;Process3Starts;Process4Time;Process4Length;Process4Starts;RapidTime;RapidLength;RapidStarts
00004531;2025-06-29 01:05:55;2025-06-29 01:37:09;False;1868;1;2;1352;60286.5390625;45;0;0;0;0;0;0;0;0;0;43;4452;46
00004530;2025-06-29 01:45:00;2025-06-29 02:16:36;False;1892;1;2;1265;56850.46484375;55;0;0;0;0;0;0;0;0;0;55;4406;56
00004532;2025-06-29 02:55:18;2025-06-29 05:19:52;True;8670;3924;3;3310;123376.6484375;134;0;0;0;0;0;0;0;0;0;145;16611;137
00004532;2025-06-29 02:55:18;2025-06-29 05:21:06;True;4;0;2;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
00004525;2025-06-29 05:37:21;2025-06-29 07:01:11;True;5026;4;2;3348;127898.8046875;144;0;0;0;0;0;0;0;0;0;221;37094;149
00004525;2025-06-29 05:37:21;2025-06-29 07:02:36;True;4;0;2;0;0.0;0;0;0;0;0;0;0;0;0;0;4;766;0
00004525;2025-06-29 05:37:21;2025-06-29 07:05:00;True;9;0;4;0;0.0;0;0;0;0;0;0;0;0;0;0;9;1533;0
00004526;2025-06-29 08:03:07;2025-06-29 10:18:15;False;8107;2962;4;3421;130891.328125;146;0;0;0;0;0;0;0;0;0;291;55458;152
00004528;2025-06-29 10:33:11;2025-06-29 11:55:54;False;4962;358;3;1564;72395.1875;108;0;0;0;0;0;0;0;0;0;742;86594;346
00004533;2025-06-29 15:39:02;2025-06-29 16:02:08;False;1384;14;3;423;20820.515625;9;0;0;0;0;0;0;0;0;0;286;62742;75
yanni Module0006 2282 x 1174;2025-06-29 16:04:53;2025-06-29 16:07:21;False;147;0;1;135;6913.4990234375;1;0;0;0;0;0;0;0;0;0;0;11;1
Module0006;2025-06-29 23:16:41;2025-06-30 00:00:43;False;2641;356;32;1221;79331.0390625;96;0;0;0;0;0;0;0;0;0;205;25575;93
Module0006;2025-06-30 00:05:18;2025-06-30 00:55:55;False;3036;686;42;1242;79538.4296875;96;0;0;0;0;0;0;0;0;0;209;25701;94
