ProgramName;Start;End;Cancelled;TotalTime;BreakingTime;NumberBreaks;Process1Time;Process1Length;Process1Starts;Process2Time;Process2Length;Process2Starts;Process3Time;Process3Length;Process3Starts;Process4Time;Process4Length;Process4Starts;RapidTime;RapidLength;RapidStarts
00004073;2025-07-16 21:33:49;2025-07-17 01:54:33;False;15642;291;11;4818;142246.25;671;0;0;0;0;0;0;0;0;0;2265;242670;1144
Module0006;2025-07-17 01:58:00;2025-07-17 01:58:59;False;59;0;0;47;4376.57666015625;1;0;0;0;0;0;0;0;0;0;0;8;1
00003744;2025-07-17 03:01:45;2025-07-17 06:17:30;False;11744;4556;44;1343;81420.9140625;91;0;0;0;0;0;0;0;0;0;1234;217822;374
00004260;2025-07-17 06:50:48;2025-07-17 10:22:52;False;12718;1186;44;4553;204065.359375;203;0;0;0;0;0;0;0;0;0;1538;212831;505
00004592;2025-07-17 11:59:05;2025-07-17 11:59:10;True;0;0;1;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
00003747;2025-07-17 13:13:33;2025-07-17 15:11:15;False;7061;2453;54;873;56181.21484375;55;0;0;0;0;0;0;0;0;0;1020;217971;208
00003747;2025-07-17 15:46:12;2025-07-17 15:46:33;True;21;21;1;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
00003747;2025-07-17 15:46:12;2025-07-17 16:15:25;True;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
00003747;2025-07-17 15:46:12;2025-07-17 18:01:34;True;1;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
00004592;2025-07-17 18:15:53;2025-07-18 00:38:48;False;22974;16486;20;2208;139067.953125;232;0;0;0;0;0;0;0;0;0;1201;135779;494
