ProgramName;Start;End;Cancelled;TotalTime;BreakingTime;NumberBreaks;Process1Time;Process1Length;Process1Starts;Process2Time;Process2Length;Process2Starts;Process3Time;Process3Length;Process3Starts;Process4Time;Process4Length;Process4Starts;RapidTime;RapidLength;RapidStarts
00004219;2025-07-15 02:54:18;2025-07-15 07:39:40;True;1;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
00004219;2025-07-15 02:54:18;2025-07-15 07:39:42;True;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
00004219;2025-07-15 07:39:50;2025-07-15 07:40:06;True;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
00004219;2025-07-15 07:39:50;2025-07-15 07:40:54;True;1;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
00004219;2025-07-15 07:43:38;2025-07-15 07:44:08;True;29;8;1;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
00004219;2025-07-15 07:43:38;2025-07-15 07:47:50;True;17;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
00004219;2025-07-15 07:52:05;2025-07-15 07:52:13;True;7;7;1;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
00004219;2025-07-15 08:06:59;2025-07-15 08:16:17;True;557;2;1;99;3158.578125;34;0;0;0;0;0;0;0;0;0;71;1818;35
00004219;2025-07-15 08:17:25;2025-07-15 08:17:51;True;0;0;2;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;1
00004219;2025-07-15 08:17:25;2025-07-15 08:18:17;True;13;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
00004219;2025-07-15 08:17:25;2025-07-15 08:21:56;True;14;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
00004219;2025-07-15 08:23:21;2025-07-15 10:25:11;False;7308;315;4;4133;253772.890625;283;0;0;0;0;0;0;0;0;0;409;53427;285
jm 600x290;2025-07-15 11:18:16;2025-07-15 11:19:22;False;65;0;0;53;1795.40795898438;1;0;0;0;0;0;0;0;0;0;0;11;1
jm 600x290;2025-07-15 12:44:35;2025-07-15 12:45:02;True;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
