ProgramName;Start;End;Cancelled;TotalTime;BreakingTime;NumberBreaks;Process1Time;Process1Length;Process1Starts;Process2Time;Process2Length;Process2Starts;Process3Time;Process3Length;Process3Starts;Process4Time;Process4Length;Process4Starts;RapidTime;RapidLength;RapidStarts
00004209;2025-07-19 18:28:03;2025-07-20 02:21:24;False;28400;18951;47;2486;157182.59375;183;0;0;0;0;0;0;0;0;0;1650;293269;548
vikas 500x 500 Module0006;2025-07-20 02:43:26;2025-07-20 02:44:08;False;41;0;1;30;2001.95043945313;1;0;0;0;0;0;0;0;0;0;0;11;1
00004710;2025-07-20 05:35:50;2025-07-20 05:42:27;False;395;3;1;197;8016.35986328125;3;0;0;0;0;0;0;0;0;0;45;10520;12
00004117;2025-07-20 06:19:08;2025-07-20 09:45:00;False;12345;4420;37;2700;128253.3359375;185;0;0;0;0;0;0;0;0;0;1288;257773;337
00004233;2025-07-20 11:55:38;2025-07-20 12:19:29;False;1430;31;5;359;18501.400390625;4;0;0;0;0;0;0;0;0;0;273;57742;43
00004270;2025-07-20 15:43:10;2025-07-20 15:54:58;False;707;11;5;469;23992.3203125;9;0;0;0;0;0;0;0;0;0;125;34066;11
00004268;2025-07-20 16:23:45;2025-07-20 16:37:43;False;835;52;12;472;24150.498046875;10;0;0;0;0;0;0;0;0;0;150;43261;15
