Cluster;Metric;Value
0;TotalTime;7.862112211662748
1;TotalTime;10.441967253083934
2;TotalTime;9.18993356219852
3;TotalTime;6.569481420414296
0;BreakingTime;5.493061443340548
1;BreakingTime;9.85450737031441
2;BreakingTime;9.012620873002133
3;BreakingTime;4.787491742782046
0;NumberBreaks;2.772588722239781
1;NumberBreaks;4.007333185232471
2;NumberBreaks;3.6375861597263857
3;NumberBreaks;1.3862943611198906
0;Process1Time;7.661527081358517
1;Process1Time;9.04699757378001
2;Process1Time;8.137980454452139
3;Process1Time;5.288267030694535
0;Process1Length;11.38580002818473
1;Process1Length;12.7927510576581
2;Process1Length;11.782130341509696
3;Process1Length;9.539466846774776
0;Process1Starts;4.3694478524670215
1;Process1Starts;6.659293919683638
2;Process1Starts;4.990432586778736
3;Process1Starts;3.367295829986474
0;RapidTime;5.831882477283517
1;RapidTime;8.097426298597213
2;RapidTime;6.810142450115136
3;RapidTime;4.574710978503383
0;RapidLength;11.11896393624548
1;RapidLength;12.888618833602573
2;RapidLength;12.18927739155019
3;RapidLength;9.639782389465797
0;RapidStarts;5.093750200806762
1;RapidStarts;7.406103381237015
2;RapidStarts;5.849324779946859
3;RapidStarts;3.951243718581428
