ProgramName;Start;End;Cancelled;TotalTime;BreakingTime;NumberBreaks;Process1Time;Process1Length;Process1Starts;RapidTime;RapidLength;RapidStarts
4510;2025-07-11 05:49:35;2025-07-11 06:08:25;False;1130;6;1;251;11011.4912109375;47;149;11611;88
4587;2025-07-11 06:24:23;2025-07-11 06:54:04;False;1778;197;3;572;22082.24609375;18;219;24738;113
4632;2025-07-11 15:27:46;2025-07-11 15:59:12;False;1882;1;1;750;47492.40234375;42;340;34922;155
4001;2025-07-11 23:18:15;2025-07-12 01:25:58;False;7661;278;34;4774;227142.5625;238;762;129356;275
4372;2025-07-12 02:56:25;2025-07-12 06:01:16;False;11090;4665;31;2058;98084.2265625;60;1181;217427;277
4360;2025-07-12 23:18:57;2025-07-13 00:06:48;False;2869;225;9;848;54392.16015625;21;522;98855;111
4382;2025-07-13 01:11:33;2025-07-13 02:15:54;False;3860;628;25;648;38909.87890625;9;689;138621;105
4330;2025-07-13 03:05:26;2025-07-13 04:53:38;False;6490;4015;14;1050;38522.921875;7;415;98484;47
4649;2025-07-13 05:37:34;2025-07-13 05:53:14;False;939;130;7;475;22663.328125;21;30;4247;27
4327;2025-07-13 06:03:48;2025-07-13 06:23:56;False;1207;46;15;722;27889.611328125;14;208;64536;18
4357;2025-07-13 11:52:09;2025-07-13 14:35:29;False;9797;8205;3;756;46995.046875;15;311;78555;55
3576;2025-07-14 07:00:51;2025-07-14 07:33:47;False;1973;14;2;1731;17438.5703125;4;73;18058;14
4023;2025-07-14 12:26:27;2025-07-14 13:26:50;False;3620;134;4;891;30363.759765625;144;506;54821;232
4494;2025-07-14 23:42:25;2025-07-15 00:32:03;False;2976;1043;2;1007;34245.94140625;45;193;32642;84
4073;2025-07-16 21:33:49;2025-07-17 01:54:33;False;15642;291;11;4818;142246.25;671;2265;242670;1144
3744;2025-07-17 03:01:45;2025-07-17 06:17:30;False;11744;4556;44;1343;81420.9140625;91;1234;217822;374
4260;2025-07-17 06:50:48;2025-07-17 10:22:52;False;12718;1186;44;4553;204065.359375;203;1538;212831;505
3747;2025-07-17 13:13:33;2025-07-17 15:11:15;False;7061;2453;54;873;56181.21484375;55;1020;217971;208
4163;2025-07-18 02:38:38;2025-07-18 05:14:58;False;9375;4703;47;940;37786.5234375;71;1054;229554;172
4409;2025-07-18 16:11:06;2025-07-18 18:59:17;False;10090;420;18;5254;191630.234375;197;919;155499;418
4185;2025-07-19 00:49:38;2025-07-19 06:14:40;False;19497;7597;17;4778;171068.75;214;2090;392637;685
4209;2025-07-19 18:28:03;2025-07-20 02:21:24;False;28400;18951;47;2486;157182.59375;183;1650;293269;548
4710;2025-07-20 05:35:50;2025-07-20 05:42:27;False;395;3;1;197;8016.35986328125;3;45;10520;12
