ProgramName;Start;End;Cancelled;TotalTime;BreakingTime;NumberBreaks;Process1Time;Process1Length;Process1Starts;Process2Time;Process2Length;Process2Starts;Process3Time;Process3Length;Process3Starts;Process4Time;Process4Length;Process4Starts;RapidTime;RapidLength;RapidStarts
00004524;2025-06-26 23:30:05;2025-06-27 01:56:04;True;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
00004524;2025-06-26 23:30:05;2025-06-27 01:56:33;True;4;0;2;0;0.0;0;0;0;0;0;0;0;0;0;0;4;766;0
00004524;2025-06-26 23:30:05;2025-06-27 01:57:20;True;9;0;4;0;0.0;0;0;0;0;0;0;0;0;0;0;9;1533;0
00004524;2025-06-26 23:30:05;2025-06-27 01:58:21;True;14;0;6;0;0.0;0;0;0;0;0;0;0;0;0;0;13;2299;0
00004524;2025-06-26 23:30:05;2025-06-27 01:59:07;True;19;1;8;0;0.0;0;0;0;0;0;0;0;0;0;0;18;3066;0
00004523;2025-06-27 02:41:21;2025-06-27 05:33:36;True;10332;4154;6;3150;181467.59375;291;0;0;0;0;0;0;0;0;0;321;44773;298
00004523;2025-06-27 02:41:21;2025-06-27 05:36:05;True;9;0;4;0;0.0;0;0;0;0;0;0;0;0;0;0;9;1533;0
00004523;2025-06-27 02:41:21;2025-06-27 05:37:58;True;19;1;9;0;0.0;0;0;0;0;0;0;0;0;0;0;18;3066;0
00004523;2025-06-27 02:41:21;2025-06-27 05:39:00;True;27;9;9;0;0.0;0;0;0;0;0;0;0;0;0;0;18;3066;0
Module0006;2025-06-27 07:00:35;2025-06-27 07:01:05;True;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
Module0006;2025-06-27 07:01:55;2025-06-27 07:08:23;False;387;0;1;346;10707.48828125;4;0;0;0;0;0;0;0;0;0;5;257;4
00004138;2025-06-27 09:26:42;2025-06-27 09:29:48;True;181;15;6;0;0.0;0;0;0;0;0;0;0;0;0;0;29;5363;14
00004138;2025-06-27 09:26:42;2025-06-27 09:30:18;True;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
00004138;2025-06-27 09:31:01;2025-06-27 09:51:31;True;1227;645;13;73;4102.47412109375;6;0;0;0;0;0;0;0;0;0;194;27399;27
bay 1 Module0001 cp071;2025-06-27 10:19:14;2025-06-27 10:19:16;True;1;2;1;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
