ProgramName;Start;End;Cancelled;TotalTime;BreakingTime;NumberBreaks;Process1Time;Process1Length;Process1Starts;Process2Time;Process2Length;Process2Starts;Process3Time;Process3Length;Process3Starts;Process4Time;Process4Length;Process4Starts;RapidTime;RapidLength;RapidStarts
00004185;2025-07-19 00:49:38;2025-07-19 06:14:40;False;19497;7597;17;4778;171068.75;214;0;0;0;0;0;0;0;0;0;2090;392637;685
Dav Module0006 150 x 456 x 20mm;2025-07-19 07:42:37;2025-07-19 07:43:22;False;43;0;0;32;1236.15759277344;1;0;0;0;0;0;0;0;0;0;0;18;1
00004234;2025-07-19 15:09:08;2025-07-19 15:12:58;True;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
00004234;2025-07-19 15:14:22;2025-07-19 15:15:11;True;0;0;1;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
00004234;2025-07-19 15:23:20;2025-07-19 16:31:46;False;4103;93;17;1989;79666.328125;257;0;0;0;0;0;0;0;0;0;635;49931;264
