ProgramName;Start;End;Cancelled;TotalTime;BreakingTime;NumberBreaks;Process1Time;Process1Length;Process1Starts;Process2Time;Process2Length;Process2Starts;Process3Time;Process3Length;Process3Starts;Process4Time;Process4Length;Process4Starts;RapidTime;RapidLength;RapidStarts
4139;2025-06-23 19:56:40;2025-06-24 02:02:29;False;21944;2686;15;5624;340245.78125;525;0;0;0;0;0;0;0;0;0;3285;390495;1645
4335;2025-06-24 09:16:05;2025-06-24 13:10:07;False;14039;3726;14;4748;173597.546875;180;0;0;0;0;0;0;0;0;0;1679;324090;511
3913;2025-06-24 16:34:04;2025-06-24 16:34:31;True;25;6;1;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
3913;2025-06-24 16:34:42;2025-06-24 16:35:02;True;17;6;1;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
3913;2025-06-24 16:34:42;2025-06-24 16:38:15;True;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
3913;2025-06-24 16:39:59;2025-06-24 16:53:49;False;827;3;2;487;32708.306640625;11;0;0;0;0;0;0;0;0;0;151;50646;14
3911;2025-06-24 17:40:12;2025-06-24 17:55:14;False;896;45;7;493;33061.375;12;0;0;0;0;0;0;0;0;0;165;52448;18
3922;2025-06-24 19:01:03;2025-06-24 19:15:31;False;862;8;2;484;32480.400390625;11;0;0;0;0;0;0;0;0;0;167;52562;18
